TXNAME,GENEID
DN_NonamEVm002316t6,DN_NonamEVm002316
DN_NonamEVm002316t7,DN_NonamEVm002316
DN_NonamEVm002382t1,DN_NonamEVm002382
DN_NonamEVm002382t2,DN_NonamEVm002382
DN_NonamEVm002425t1,DN_NonamEVm002425
DN_NonamEVm002425t2,DN_NonamEVm002425
DN_NonamEVm002425t3,DN_NonamEVm002425
DN_NonamEVm002425t5,DN_NonamEVm002425
DN_NonamEVm002425t6,DN_NonamEVm002425
DN_NonamEVm002425t8,DN_NonamEVm002425
DN_NonamEVm002425t9,DN_NonamEVm002425
DN_NonamEVm002493t4,DN_NonamEVm002493
DN_NonamEVm002493t5,DN_NonamEVm002493
DN_NonamEVm002494t2,DN_NonamEVm002494
DN_NonamEVm002567t1,DN_NonamEVm002567
DN_NonamEVm002575t1,DN_NonamEVm002575
DN_NonamEVm002575t2,DN_NonamEVm002575
DN_NonamEVm002575t3,DN_NonamEVm002575
DN_NonamEVm002577t1,DN_NonamEVm002577
DN_NonamEVm002577t3,DN_NonamEVm002577
DN_NonamEVm002577t5,DN_NonamEVm002577
DN_NonamEVm002588t1,DN_NonamEVm002588
DN_NonamEVm002588t2,DN_NonamEVm002588
DN_NonamEVm002588t4,DN_NonamEVm002588
DN_NonamEVm002588t8,DN_NonamEVm002588
DN_NonamEVm002612t5,DN_NonamEVm002612
DN_NonamEVm002614t1,DN_NonamEVm002614
DN_NonamEVm002620t1,DN_NonamEVm002620
DN_NonamEVm002620t2,DN_NonamEVm002620
DN_NonamEVm002620t4,DN_NonamEVm002620
DN_NonamEVm002620t5,DN_NonamEVm002620
DN_NonamEVm002620t6,DN_NonamEVm002620
DN_NonamEVm002620t7,DN_NonamEVm002620
DN_NonamEVm002620t8,DN_NonamEVm002620
