TXNAME,GENEID
DN_NonamEVm002092t8,DN_NonamEVm002092
DN_NonamEVm002093t1,DN_NonamEVm002093
DN_NonamEVm002093t2,DN_NonamEVm002093
DN_NonamEVm002093t3,DN_NonamEVm002093
DN_NonamEVm002093t4,DN_NonamEVm002093
DN_NonamEVm002093t5,DN_NonamEVm002093
DN_NonamEVm002093t6,DN_NonamEVm002093
DN_NonamEVm002093t7,DN_NonamEVm002093
DN_NonamEVm002093t8,DN_NonamEVm002093
DN_NonamEVm002093t9,DN_NonamEVm002093
DN_NonamEVm002095t1,DN_NonamEVm002095
DN_NonamEVm002095t2,DN_NonamEVm002095
DN_NonamEVm002095t3,DN_NonamEVm002095
DN_NonamEVm002095t5,DN_NonamEVm002095
DN_NonamEVm002095t6,DN_NonamEVm002095
DN_NonamEVm002095t8,DN_NonamEVm002095
DN_NonamEVm002095t9,DN_NonamEVm002095
DN_NonamEVm002104t1,DN_NonamEVm002104
DN_NonamEVm002104t2,DN_NonamEVm002104
DN_NonamEVm002104t4,DN_NonamEVm002104
DN_NonamEVm002104t5,DN_NonamEVm002104
DN_NonamEVm002104t8,DN_NonamEVm002104
DN_NonamEVm002125t1,DN_NonamEVm002125
DN_NonamEVm002127t1,DN_NonamEVm002127
DN_NonamEVm002127t2,DN_NonamEVm002127
DN_NonamEVm002127t5,DN_NonamEVm002127
DN_NonamEVm002127t6,DN_NonamEVm002127
DN_NonamEVm002127t8,DN_NonamEVm002127
DN_NonamEVm002145t1,DN_NonamEVm002145
DN_NonamEVm002145t2,DN_NonamEVm002145
DN_NonamEVm002158t2,DN_NonamEVm002158
DN_NonamEVm002158t5,DN_NonamEVm002158
DN_NonamEVm002158t6,DN_NonamEVm002158
DN_NonamEVm002158t7,DN_NonamEVm002158
DN_NonamEVm002158t9,DN_NonamEVm002158
DN_NonamEVm002188t7,DN_NonamEVm002188
DN_NonamEVm002214t8,DN_NonamEVm002214
DN_NonamEVm002215t2,DN_NonamEVm002215
DN_NonamEVm002216t1,DN_NonamEVm002216
DN_NonamEVm002216t3,DN_NonamEVm002216
DN_NonamEVm002216t4,DN_NonamEVm002216
DN_NonamEVm002216t5,DN_NonamEVm002216
DN_NonamEVm002227t1,DN_NonamEVm002227
DN_NonamEVm002227t2,DN_NonamEVm002227
DN_NonamEVm002232t1,DN_NonamEVm002232
DN_NonamEVm002235t2,DN_NonamEVm002235
DN_NonamEVm002254t1,DN_NonamEVm002254
DN_NonamEVm002254t2,DN_NonamEVm002254
DN_NonamEVm002257t2,DN_NonamEVm002257
DN_NonamEVm002257t4,DN_NonamEVm002257
DN_NonamEVm002257t6,DN_NonamEVm002257
DN_NonamEVm002257t8,DN_NonamEVm002257
DN_NonamEVm002293t1,DN_NonamEVm002293
DN_NonamEVm002293t2,DN_NonamEVm002293
DN_NonamEVm002293t3,DN_NonamEVm002293
DN_NonamEVm002340t3,DN_NonamEVm002340
DN_NonamEVm002340t4,DN_NonamEVm002340
DN_NonamEVm002340t8,DN_NonamEVm002340
DN_NonamEVm002340t9,DN_NonamEVm002340
DN_NonamEVm002380t1,DN_NonamEVm002380
DN_NonamEVm002380t8,DN_NonamEVm002380
DN_NonamEVm002383t1,DN_NonamEVm002383
DN_NonamEVm002383t3,DN_NonamEVm002383
DN_NonamEVm002405t1,DN_NonamEVm002405
DN_NonamEVm002405t2,DN_NonamEVm002405
DN_NonamEVm002409t1,DN_NonamEVm002409
DN_NonamEVm002417t2,DN_NonamEVm002417
DN_NonamEVm002417t4,DN_NonamEVm002417
DN_NonamEVm002417t5,DN_NonamEVm002417
DN_NonamEVm002417t6,DN_NonamEVm002417
DN_NonamEVm002417t9,DN_NonamEVm002417
DN_NonamEVm002418t1,DN_NonamEVm002418
DN_NonamEVm002418t2,DN_NonamEVm002418
DN_NonamEVm002418t4,DN_NonamEVm002418
DN_NonamEVm002420t1,DN_NonamEVm002420
DN_NonamEVm002420t2,DN_NonamEVm002420
DN_NonamEVm002435t1,DN_NonamEVm002435
DN_NonamEVm002435t2,DN_NonamEVm002435
DN_NonamEVm002435t5,DN_NonamEVm002435
DN_NonamEVm002458t4,DN_NonamEVm002458
DN_NonamEVm002470t1,DN_NonamEVm002470
DN_NonamEVm002470t3,DN_NonamEVm002470
DN_NonamEVm002470t4,DN_NonamEVm002470
DN_NonamEVm002470t5,DN_NonamEVm002470
DN_NonamEVm002473t1,DN_NonamEVm002473
DN_NonamEVm002473t6,DN_NonamEVm002473
DN_NonamEVm002485t1,DN_NonamEVm002485
DN_NonamEVm002485t2,DN_NonamEVm002485
DN_NonamEVm002485t3,DN_NonamEVm002485
DN_NonamEVm002485t4,DN_NonamEVm002485
DN_NonamEVm002485t5,DN_NonamEVm002485
DN_NonamEVm002485t7,DN_NonamEVm002485
DN_NonamEVm002485t8,DN_NonamEVm002485
DN_NonamEVm002485t9,DN_NonamEVm002485
DN_NonamEVm002488t1,DN_NonamEVm002488
DN_NonamEVm002491t4,DN_NonamEVm002491
DN_NonamEVm002491t7,DN_NonamEVm002491
DN_NonamEVm002497t2,DN_NonamEVm002497
DN_NonamEVm002497t3,DN_NonamEVm002497
DN_NonamEVm002497t8,DN_NonamEVm002497
DN_NonamEVm002500t1,DN_NonamEVm002500
DN_NonamEVm002500t2,DN_NonamEVm002500
DN_NonamEVm002500t3,DN_NonamEVm002500
DN_NonamEVm002500t4,DN_NonamEVm002500
DN_NonamEVm002525t1,DN_NonamEVm002525
DN_NonamEVm002525t2,DN_NonamEVm002525
DN_NonamEVm002525t3,DN_NonamEVm002525
DN_NonamEVm002548t1,DN_NonamEVm002548
DN_NonamEVm002548t2,DN_NonamEVm002548
DN_NonamEVm002550t1,DN_NonamEVm002550
DN_NonamEVm002550t4,DN_NonamEVm002550
DN_NonamEVm002550t6,DN_NonamEVm002550
DN_NonamEVm002552t1,DN_NonamEVm002552
DN_NonamEVm002552t3,DN_NonamEVm002552
DN_NonamEVm002566t1,DN_NonamEVm002566
DN_NonamEVm002567t1,DN_NonamEVm002567
DN_NonamEVm002590t1,DN_NonamEVm002590
DN_NonamEVm002590t2,DN_NonamEVm002590
DN_NonamEVm002590t3,DN_NonamEVm002590
DN_NonamEVm002590t4,DN_NonamEVm002590
DN_NonamEVm002590t6,DN_NonamEVm002590
DN_NonamEVm002605t1,DN_NonamEVm002605
DN_NonamEVm002605t4,DN_NonamEVm002605
DN_NonamEVm002605t8,DN_NonamEVm002605
DN_NonamEVm002632t3,DN_NonamEVm002632
DN_NonamEVm002632t4,DN_NonamEVm002632
DN_NonamEVm002668t1,DN_NonamEVm002668
DN_NonamEVm002668t2,DN_NonamEVm002668
DN_NonamEVm002668t3,DN_NonamEVm002668
DN_NonamEVm002668t5,DN_NonamEVm002668
DN_NonamEVm002668t6,DN_NonamEVm002668
